"order_id","product_id","seller_id","order_item_id","shipping_limit_date","price","freight_value"
"000229ec398224ef6ca0657da4fc703e","c777355d18b72b67abbeef9df44fd0fd","5b51032eddd242adc84c38acab88f23d",1,2018-01-18 14:48:30.000000Z,199.00,17.87
"00024acbcdf0a6daa1e931b038114c75","7634da152a4610f1595efa32f14722fc","9d7a1d34a5052409006425275ba1c2b4",1,2018-08-15 10:10:18.000000Z,12.99,12.79
"000576fe39319847cbb9d288c5617fa6","557d850972a7d6f792fd18ae1400d9b6","5996cddab893a4652a15592fb58ab8db",1,2018-07-10 12:30:45.000000Z,810.00,70.75
"0005a1a1728c9d785b8e2b08b904576c","310ae3c140ff94b03219ad0adc3c778f","a416b6a846a11724393025641d4edd5e",1,2018-03-26 18:31:29.000000Z,145.95,11.65
"0005f50442cb953dcd1d21e1fb923495","4535b0e1091c278dfd193e5a1d63b39f","ba143b05f0110f0dc71ad71b4466ce92",1,2018-07-06 14:10:56.000000Z,53.99,11.40
"00061f2a7bc09da83e415a52dc8a4af1","d63c1011f49d98b976c352955b1c4bea","cc419e0650a3c5ba77189a1882b7556a",1,2018-03-29 22:28:09.000000Z,59.99,8.88
"00063b381e2406b52ad429470734ebd5","f177554ea93259a5b282f24e33f65ab6","8602a61d680a10a82cceeeda0d99ea3d",1,2018-07-31 17:30:39.000000Z,45.00,12.98
"0006ec9db01a64e59a68b2c340bf65a7","99a4788cb24856965c36a24e339b6058","4a3ca9315b744ce9f8e9374361493884",1,2018-07-26 17:24:20.000000Z,74.00,23.32
"0008288aa423d2a3f00fcb17cd7d8719","368c6c730842d78016ad823897a372db","1f50f920176fa81dab994f9023523100",1,2018-02-21 02:55:52.000000Z,49.90,13.37
"0008288aa423d2a3f00fcb17cd7d8719","368c6c730842d78016ad823897a372db","1f50f920176fa81dab994f9023523100",2,2018-02-21 02:55:52.000000Z,49.90,13.37
"0009792311464db532ff765bf7b182ae","8cab8abac59158715e0d70a36c807415","530ec6109d11eaaf87999465c6afee01",1,2018-08-17 12:15:10.000000Z,99.90,27.65
"0009c9a17f916a706d71784483a5d643","3f27ac8e699df3d300ec4a5d8c5cf0b2","fcb5ace8bcc92f75707dc0f01a27d269",1,2018-05-02 09:31:53.000000Z,639.00,11.34
"000aed2e25dbad2f9ddb70584c5a2ded","4fa33915031a8cde03dd0d3e8fb27f01","fe2032dab1a61af8794248c8196565c9",1,2018-05-16 20:57:03.000000Z,144.00,8.77
"000e562887b1f2006d75e0be9558292e","5ed9eaf534f6936b51d0b6c5e4d5c2e9","8cbac7e12637ed9cffa18c7875207478",1,2018-02-28 12:08:37.000000Z,25.00,16.11
"000e63d38ae8c00bbcb5a30573b99628","553e0e7590d3116a072507a3635d2877","1c129092bf23f28a5930387c980c0dfc",1,2018-03-29 20:07:49.000000Z,47.90,8.88
"000f25f4d72195062c040b12dce9a18a","1c05e0964302b6cf68ca0d15f326c6ba","7c67e1448b00f6e969d365cea6b010ab",1,2018-03-21 11:10:11.000000Z,119.99,44.40
"001021efaa8636c29475e7734483457d","5d7c23067ed3fc8c6e699b9373d5890b","6560211a19b47992c3666cc44a7e94c0",1,2018-03-05 09:35:41.000000Z,49.00,15.10
"0011d82c4b53e22e84023405fb467e57","c389f712c4b4510bc997cee93e8b1a28","bfd27a966d91cfaafdb25d076585f0da",1,2018-01-29 21:51:25.000000Z,289.00,26.33
"00130c0eee84a3d909e75bc08c5c3ca1","89321f94e35fc6d7903d36f74e351d40","16090f2ca825584b5a147ab24aa30c86",1,2018-06-14 05:16:24.000000Z,27.90,7.94
"001427c0ec99cf8af737bd88e92fd444","28b4eced95a52d9c437a4caf9d311b95","77530e9772f57a62c906e1c21538ab82",1,2018-04-12 19:08:28.000000Z,59.90,23.35
"0015ebb40fb17286bea51d4607c4733c","50fd2b788dc166edd20512370dac54df","8b321bb669392f5163d04c59e235e066",1,2018-01-18 09:11:24.000000Z,21.90,15.10
"00169e31ef4b29deaae414f9a5e95929","b10eba910a974df70b8a12d0665cdb9e","a3e9a2c700480d9bb01fba070ba80a0e",1,2018-01-23 03:35:47.000000Z,39.00,16.11
"001862358bf858722e1e2ae000cfed8b","c6dd917a0be2a704582055949915ab32","7a67c85e85bb2ce8582c35f2203ad736",1,2018-02-13 19:10:37.000000Z,99.99,13.72
"0019c29108428acffd089c36103c9440","28b4eced95a52d9c437a4caf9d311b95","77530e9772f57a62c906e1c21538ab82",1,2018-03-12 06:50:26.000000Z,59.90,19.95
"001ac194d4a326a6fa99b581e9a3d963","dbaee28f4ee64465838a229582d77520","ffc470761de7d0232558ba5e786e57b7",1,2018-07-10 02:51:10.000000Z,54.00,8.54
