"order_id","customer_id","order_status","order_purchase_timestamp","order_approved_at","order_delivered_carrier_date","order_delivered_customer_date","order_estimated_delivery_date"
"53cdb2fc8bc7dce0b6741e2150273451","b0830fb4747a6c6d20dea0b8c802d7ef","delivered",2018-07-24 20:41:37.000000Z,2018-07-26 03:24:27.000000Z,2018-07-26 14:31:00.000000Z,2018-08-07 15:27:45.000000Z,2018-08-13 00:00:00.000000Z
"47770eb9100c2d0c44946d9cf07ec65d","41ce2a54c0b03bf3443c3d931a367089","delivered",2018-08-08 08:38:49.000000Z,2018-08-08 08:55:23.000000Z,2018-08-08 13:50:00.000000Z,2018-08-17 18:06:29.000000Z,2018-09-04 00:00:00.000000Z
"ad21c59c0840e6cb83a9ceb5573f8159","8ab97904e6daea8866dbdbc4fb7aad2c","delivered",2018-02-13 21:18:39.000000Z,2018-02-13 22:20:29.000000Z,2018-02-14 19:46:34.000000Z,2018-02-16 18:17:02.000000Z,2018-02-26 00:00:00.000000Z
"82566a660a982b15fb86e904c8d32918","d3e3b74c766bc6214e0c830b17ee2341","delivered",2018-06-07 10:06:19.000000Z,2018-06-09 03:13:12.000000Z,2018-06-11 13:29:00.000000Z,2018-06-19 12:05:52.000000Z,2018-07-18 00:00:00.000000Z
"5ff96c15d0b717ac6ad1f3d77225a350","19402a48fe860416adf93348aba37740","delivered",2018-07-25 17:44:10.000000Z,2018-07-25 17:55:14.000000Z,2018-07-26 13:16:00.000000Z,2018-07-30 15:52:25.000000Z,2018-08-08 00:00:00.000000Z
"432aaf21d85167c2c86ec9448c4e42cc","3df704f53d3f1d4818840b34ec672a9f","delivered",2018-03-01 14:14:28.000000Z,2018-03-01 15:10:47.000000Z,2018-03-02 21:09:20.000000Z,2018-03-12 23:36:26.000000Z,2018-03-21 00:00:00.000000Z
"dcb36b511fcac050b97cd5c05de84dc3","3b6828a50ffe546942b7a473d70ac0fc","delivered",2018-06-07 19:03:12.000000Z,2018-06-12 23:31:02.000000Z,2018-06-11 14:54:00.000000Z,2018-06-21 15:34:32.000000Z,2018-07-04 00:00:00.000000Z
"403b97836b0c04a622354cf531062e5f","738b086814c6fcc74b8cc583f8516ee3","delivered",2018-01-02 19:00:43.000000Z,2018-01-02 19:09:04.000000Z,2018-01-03 18:19:09.000000Z,2018-01-20 01:38:59.000000Z,2018-02-06 00:00:00.000000Z
"f848643eec1d69395095eb3840d2051e","4fa1cd166fa598be6de80fa84eaade43","delivered",2018-03-15 08:52:40.000000Z,2018-03-15 09:09:31.000000Z,2018-03-15 19:52:48.000000Z,2018-03-19 18:08:32.000000Z,2018-03-29 00:00:00.000000Z
"2807d0e504d6d4894d41672727bc139f","72ae281627a6102d9b3718528b420f8a","delivered",2018-02-03 20:37:35.000000Z,2018-02-03 20:50:22.000000Z,2018-02-05 22:37:28.000000Z,2018-02-08 16:13:46.000000Z,2018-02-21 00:00:00.000000Z
"95266dbfb7e20354baba07964dac78d5","a166da34890074091a942054b36e4265","delivered",2018-01-08 07:55:29.000000Z,2018-01-08 08:07:31.000000Z,2018-01-24 23:16:37.000000Z,2018-01-26 17:32:38.000000Z,2018-02-21 00:00:00.000000Z
"f3e7c359154d965827355f39d6b1fdac","62b423aab58096ca514ba6aa06be2f98","delivered",2018-08-09 11:44:40.000000Z,2018-08-10 03:24:51.000000Z,2018-08-10 12:29:00.000000Z,2018-08-13 18:24:27.000000Z,2018-08-17 00:00:00.000000Z
"fbf9ac61453ac646ce8ad9783d7d0af6","3a874b4d4c4b6543206ff5d89287f0c3","delivered",2018-02-20 23:46:53.000000Z,2018-02-22 02:30:46.000000Z,2018-02-26 22:25:22.000000Z,2018-03-21 22:03:54.000000Z,2018-03-12 00:00:00.000000Z
"acce194856392f074dbf9dada14d8d82","7e20bf5ca92da68200643bda76c504c6","delivered",2018-06-04 00:00:13.000000Z,2018-06-05 00:35:10.000000Z,2018-06-05 13:24:00.000000Z,2018-06-16 15:20:55.000000Z,2018-07-18 00:00:00.000000Z
"dd78f560c270f1909639c11b925620ea","8b212b9525f9e74e85e37ed6df37693e","delivered",2018-03-12 01:50:26.000000Z,2018-03-12 03:28:34.000000Z,2018-03-12 21:06:37.000000Z,2018-03-21 14:41:50.000000Z,2018-03-28 00:00:00.000000Z
"91b2a010e1e45e6ba3d133fa997597be","cce89a605105b148387c52e286ac8335","delivered",2018-05-02 11:45:38.000000Z,2018-05-03 12:55:01.000000Z,2018-05-10 16:16:00.000000Z,2018-05-16 20:56:24.000000Z,2018-05-23 00:00:00.000000Z
